43,-1,455.00,223.00,204.00,491.00,1.00,-1,-1,-1
43,-1,785.00,121.00,178.00,219.00,1.00,-1,-1,-1
43,-1,595.00,191.00,66.00,78.00,0.98,-1,-1,-1
43,-1,303.00,522.00,171.00,186.00,0.93,-1,-1,-1
43,-1,188.00,0.00,437.00,608.00,0.83,-1,-1,-1
44,-1,449.00,220.00,215.00,498.00,1.00,-1,-1,-1
44,-1,785.00,123.00,174.00,218.00,1.00,-1,-1,-1
44,-1,596.00,192.00,65.00,77.00,0.98,-1,-1,-1
44,-1,304.00,523.00,168.00,183.00,0.96,-1,-1,-1
44,-1,996.00,529.00,18.00,61.00,0.75,-1,-1,-1
44,-1,192.00,0.00,431.00,581.00,0.73,-1,-1,-1
45,-1,458.00,221.00,197.00,491.00,1.00,-1,-1,-1
45,-1,785.00,121.00,174.00,220.00,1.00,-1,-1,-1
45,-1,597.00,191.00,63.00,79.00,0.97,-1,-1,-1
45,-1,303.00,524.00,172.00,184.00,0.94,-1,-1,-1
46,-1,468.00,223.00,208.00,492.00,1.00,-1,-1,-1
46,-1,790.00,122.00,176.00,218.00,1.00,-1,-1,-1
46,-1,301.00,524.00,174.00,185.00,0.96,-1,-1,-1
46,-1,596.00,189.00,66.00,84.00,0.95,-1,-1,-1
46,-1,1061.00,553.00,20.00,47.00,0.73,-1,-1,-1
46,-1,194.00,0.00,441.00,588.00,0.72,-1,-1,-1
47,-1,477.00,223.00,176.00,491.00,1.00,-1,-1,-1
47,-1,786.00,122.00,181.00,221.00,1.00,-1,-1,-1
47,-1,305.00,522.00,177.00,191.00,0.97,-1,-1,-1
47,-1,596.00,191.00,65.00,78.00,0.95,-1,-1,-1
47,-1,180.00,0.00,411.00,562.00,0.75,-1,-1,-1
47,-1,1060.00,552.00,22.00,47.00,0.71,-1,-1,-1
48,-1,482.00,222.00,169.00,492.00,1.00,-1,-1,-1
48,-1,786.00,124.00,184.00,218.00,1.00,-1,-1,-1
48,-1,300.00,524.00,186.00,186.00,0.99,-1,-1,-1
48,-1,597.00,191.00,64.00,79.00,0.95,-1,-1,-1
48,-1,177.00,0.00,421.00,540.00,0.77,-1,-1,-1
48,-1,1060.00,551.00,22.00,48.00,0.77,-1,-1,-1
48,-1,981.00,453.00,30.00,52.00,0.70,-1,-1,-1
49,-1,483.00,224.00,178.00,491.00,1.00,-1,-1,-1
49,-1,787.00,124.00,185.00,218.00,1.00,-1,-1,-1
49,-1,299.00,523.00,188.00,188.00,0.99,-1,-1,-1
49,-1,596.00,191.00,65.00,79.00,0.96,-1,-1,-1
49,-1,1059.00,551.00,23.00,47.00,0.79,-1,-1,-1
49,-1,978.00,454.00,35.00,52.00,0.71,-1,-1,-1
50,-1,484.00,227.00,173.00,488.00,1.00,-1,-1,-1
50,-1,786.00,124.00,187.00,219.00,1.00,-1,-1,-1
50,-1,300.00,524.00,187.00,188.00,0.98,-1,-1,-1
50,-1,596.00,191.00,65.00,78.00,0.95,-1,-1,-1
50,-1,930.00,514.00,91.00,83.00,0.82,-1,-1,-1
50,-1,180.00,0.00,480.00,597.00,0.79,-1,-1,-1
50,-1,1061.00,552.00,21.00,47.00,0.76,-1,-1,-1
50,-1,978.00,454.00,35.00,52.00,0.74,-1,-1,-1
51,-1,481.00,226.00,175.00,489.00,1.00,-1,-1,-1
51,-1,786.00,123.00,188.00,220.00,1.00,-1,-1,-1
51,-1,301.00,525.00,181.00,187.00,0.98,-1,-1,-1
51,-1,597.00,191.00,64.00,79.00,0.94,-1,-1,-1
